date,hour,open,high,low,close,real_volume,tick_volume,spread
2016.11.18,18:00:00,3395.5,3396.5,3392,3396,2451,593,500
2016.11.18,17:50:00,3398,3398,3394,3395.5,1609,621,500
2016.11.18,17:40:00,3395.5,3399.5,3394,3397.5,3678,1536,500
2016.11.18,17:30:00,3397.5,3398,3391,3395.5,8064,2854,500
2016.11.18,17:20:00,3398,3400.5,3395,3397,3365,1471,500
2016.11.18,17:10:00,3402.5,3403.5,3397.5,3398,3989,1715,500
2016.11.18,17:00:00,3399.5,3405.5,3398.5,3402.5,4749,1958,500
2016.11.18,16:50:00,3395.5,3399.5,3395,3399.5,4636,1922,500
2016.11.18,16:40:00,3394,3395.5,3392.5,3395,2690,1021,500
2016.11.18,16:30:00,3394.5,3396.5,3392,3394,6268,2593,500
2016.11.18,16:20:00,3395,3397,3394,3394.5,4080,1749,500
2016.11.18,16:10:00,3402,3402.5,3393.5,3395.5,9121,3662,500
2016.11.18,16:00:00,3400,3405,3400,3402.5,6093,2712,500
2016.11.18,15:50:00,3401.5,3402,3398.5,3400.5,4493,2027,500
2016.11.18,15:40:00,3396.5,3401.5,3396,3401.5,5451,2314,500
2016.11.18,15:30:00,3396,3398,3393.5,3396.5,6021,2638,500
2016.11.18,15:20:00,3400,3401,3395,3396,6543,2888,500
2016.11.18,15:10:00,3401.5,3402,3398,3400,5077,2012,500
2016.11.18,15:00:00,3403.5,3404,3399,3401.5,5371,2199,500
2016.11.18,14:50:00,3405,3406.5,3401,3403,6541,2975,500
2016.11.18,14:40:00,3404,3406.5,3400.5,3405,6164,2621,500
2016.11.18,14:30:00,3404,3407.5,3398,3404,11147,4480,500
2016.11.18,14:20:00,3410.5,3413,3403.5,3404,11375,4772,500
2016.11.18,14:10:00,3406,3412,3402,3410.5,12882,5154,500
2016.11.18,14:00:00,3404.5,3407,3403.5,3406,9136,3788,500
2016.11.18,13:50:00,3399.5,3405.5,3398,3404.5,11393,4397,500
2016.11.18,13:40:00,3396.5,3401,3396.5,3399.5,10140,4277,500
2016.11.18,13:30:00,3387.5,3397,3384.5,3396.5,16436,6420,500
2016.11.18,13:20:00,3394.5,3396.5,3387,3388,10060,4073,500
2016.11.18,13:10:00,3392,3395.5,3390.5,3394.5,8522,3387,500
2016.11.18,13:00:00,3388.5,3394.5,3387,3392,12186,4288,500
2016.11.18,12:50:00,3395.5,3396.5,3387,3389,10857,3775,500
2016.11.18,12:40:00,3395,3397.5,3392.5,3396,9731,3877,500
2016.11.18,12:30:00,3394,3399,3389,3394.5,11533,4851,500
2016.11.18,12:20:00,3389,3395.5,3389,3394,7749,3094,500
2016.11.18,12:10:00,3400,3402,3386.5,3389,26611,9937,500
2016.11.18,12:00:00,3402.5,3403,3398,3400.5,12003,4791,500
2016.11.18,11:50:00,3409,3414,3402,3403,16390,6297,500
2016.11.18,11:40:00,3404,3411.5,3402.5,3409.5,11748,4680,500
2016.11.18,11:30:00,3403.5,3405.5,3397.5,3403.5,13128,4906,500
2016.11.18,11:20:00,3407.5,3412,3402.5,3404,15288,5723,500
2016.11.18,11:10:00,3408.5,3409,3397.5,3408,28420,10679,500
2016.11.18,11:00:00,3406,3409.5,3402,3409,12697,5311,500
2016.11.18,10:50:00,3406,3408,3402,3406,9977,4221,500
2016.11.18,10:40:00,3414.5,3415,3403,3405.5,17976,7063,500
2016.11.18,10:30:00,3415.5,3416.5,3407,3415,16309,6374,500
2016.11.18,10:20:00,3417,3419,3413,3416,8271,3597,500
2016.11.18,10:10:00,3417,3419.5,3411.5,3416.5,12796,4944,500
2016.11.18,10:00:00,3424.5,3426,3412.5,3417,21993,8291,500
2016.11.18,9:50:00,3434,3435,3424,3424.5,16210,6732,500
2016.11.18,9:40:00,3436.5,3439,3432.5,3434,12646,5219,500
2016.11.18,9:30:00,3441,3443,3435.5,3436.5,10259,4514,500
2016.11.18,9:20:00,3443.5,3446,3441,3441.5,7117,2984,500
2016.11.18,9:10:00,3441,3450,3440.5,3443,14740,6385,500
2016.11.18,9:00:00,3452.5,3455,3439.5,3440.5,12154,5342,500
2016.11.17,18:00:00,3435.5,3439.5,3432.5,3437,2916,841,500
2016.11.17,17:50:00,3438,3441,3434,3435.5,3239,1088,500
2016.11.17,17:40:00,3440.5,3441.5,3436.5,3438.5,4339,2080,500
2016.11.17,17:30:00,3435,3444,3434.5,3440.5,8070,3385,500
2016.11.17,17:20:00,3428,3440,3428,3435,8821,3788,500
2016.11.17,17:10:00,3431,3434,3426.5,3428.5,10356,4330,500
2016.11.17,17:00:00,3432.5,3445,3431,3431.5,15893,6936,500
2016.11.17,16:50:00,3434.5,3438.5,3430.5,3433,6742,3081,500
2016.11.17,16:40:00,3437.5,3438.5,3434.5,3434.5,3837,1907,500
2016.11.17,16:30:00,3434.5,3439.5,3433,3437.5,6703,2894,500
2016.11.17,16:20:00,3432.5,3436,3430.5,3434.5,3616,1779,500
2016.11.17,16:10:00,3433.5,3436,3430,3433,6368,2865,500
2016.11.17,16:00:00,3440.5,3442,3431.5,3433.5,9804,3571,500
2016.11.17,15:50:00,3434.5,3441,3434.5,3440.5,13263,5340,500
2016.11.17,15:40:00,3430.5,3436.5,3429,3434.5,10876,4464,500
2016.11.17,15:30:00,3427,3434,3426,3430,9633,4097,500
2016.11.17,15:20:00,3428.5,3429.5,3425,3426.5,5035,2128,500
2016.11.17,15:10:00,3429,3431,3425.5,3429,8545,3650,500
2016.11.17,15:00:00,3429,3433,3426,3428.5,10613,4455,500
2016.11.17,14:50:00,3417.5,3431.5,3417,3429,11288,4769,500
2016.11.17,14:40:00,3416,3423,3416,3418,8698,3700,500
2016.11.17,14:30:00,3414.5,3417.5,3413.5,3416.5,6290,2498,500
2016.11.17,14:20:00,3412.5,3415.5,3410.5,3414.5,6851,2970,500
2016.11.17,14:10:00,3411.5,3415,3406,3412.5,11239,4442,500
2016.11.17,14:00:00,3419.5,3421,3410.5,3411,8346,3633,500
2016.11.17,13:50:00,3421,3424,3415,3419,10399,4436,500
2016.11.17,13:40:00,3420.5,3425,3417.5,3421,12078,5171,500
2016.11.17,13:30:00,3413,3422,3412.5,3420,14325,6120,500
2016.11.17,13:20:00,3411.5,3415.5,3408.5,3412.5,11539,4693,500
2016.11.17,13:10:00,3408.5,3414.5,3406,3411,10941,4497,500
2016.11.17,13:00:00,3408,3413,3404.5,3408.5,13019,4361,500
2016.11.17,12:50:00,3419,3419,3407,3408,14453,4827,500
2016.11.17,12:40:00,3418,3421.5,3414,3419,9872,4120,500
2016.11.17,12:30:00,3413.5,3420,3409,3418,16647,6676,500
2016.11.17,12:20:00,3423.5,3425,3413,3413,18424,6789,500
2016.11.17,12:10:00,3430,3431.5,3422,3423.5,18758,6905,500
2016.11.17,12:00:00,3432,3435,3426.5,3430,11941,4857,500
2016.11.17,11:50:00,3441,3442.5,3432,3432.5,12181,5132,500
2016.11.17,11:40:00,3427,3443,3427,3441,14817,5295,500
2016.11.17,11:30:00,3428,3438.5,3425,3427,20650,7442,500
2016.11.17,11:20:00,3426.5,3430,3424,3428,5734,2101,500
2016.11.17,11:10:00,3429.5,3430,3423.5,3426.5,10731,3808,500
